Closing or Layoff,Initial Report Date,Planned Starting Date,Company,City,Planned # Affected Employees
Closing *,9/17/2013,11/11/2013,"TWIN PINES, LLC",Jasper,60
Closing *,9/11/2013,12/4/2013,INTERNATIONAL PAPER-COURTLAND MILL,Courtland,1100
Closing *,8/20/2013,10/6/2013,BELLE FOODS-STORE 84 (TUSCALOOSA),Tuscaloosa,50
Closing *,6/14/2013,10/1/2013,COOPER LIGHTING,Eufaula,285
Closing *,7/31/2013,9/29/2013,PREFERRED HEALTH HOLDINGS (@RIDGEWOOD HEALTH CARE),Jasper,141
Closing *,7/22/2013,10/4/2013,BENTELER AUTOMOTIVE,Opelika,115
Layoff *,7/9/2013,9/9/2013,"DRUMMOND CO., INC. SHOAL CREEK MINE",Oakman,425
Closing *,6/19/2013,7/22/2013,SODEXO (CAMPUS OF OAKWOOD UNIVERSITY),Huntsville,75
Closing *,6/17/2013,7/11/2013,BECHTEL POWER CORPORATION,Hollywood,83
Closing *,6/4/2013,7/29/2013,"RUSSELL BRANDS, INC., COOSA RIVER DISTRIBUTION",Wetumpka,191
Closing *,5/17/2013,7/12/2013,"TUSCALOOSA RESOURCES INC., SWANN'S CROSSING MINE",Brookwood,67
Closing *,5/9/2013,7/8/2013,STANDARD FURNITURE,Frisco City,157
Closing *,5/1/2013,4/30/2013,AMERICAN APPAREL-ONEONTA,Oneonta,200
Layoff *,4/29/2013,5/15/2013,SODEXO (CAMPUS OF UNIV. OF MONTEVALLO),Montevallo,51
Layoff *,4/5/2013,6/21/2013,SITEL,Andalusia,144
Closing *,4/2/2013,3/15/2013,AMERICAN APPAREL-OPP,Opp,200
Closing *,3/15/2013,3/15/2013,NORTH RIVER MINE (JIM WALTER RESOURCES),Brookwood,176
Closing *,3/11/2013,5/7/2013,"SHILOH INDUSTRIES, ANNISTON MFG. PLANT",Anniston,68
Layoff *,3/1/2013,5/3/2013,VANTAGE SOURCING INC.,Taylor,215
Closing *,2/26/2013,2/19/2013,"KC ECONOMIC DEVELOPMENT, LLC",Shorter,207
Closing *,1/30/2013,4/2/2013,EATON CORP,Decatur,63
Closing *,1/15/2013,3/10/2015,KMART CORPORATION,Anniston,52
Closing *,1/7/2013,3/5/2013,"RUSSELL BRANDS, LLC-DECORATION OPERATIONS",Alexander City,390
Closing *,1/3/2013,3/2/2013,"GREDE CASTINGS, LLC., INC.",Marion,105
Closing *,8/20/2013,10/6/2013,BELLE FOODS-STORE 310 (MOBILE),Mobile,59
Layoff *,4/16/2013,6/11/2013,MILLARD REFRIGERATED SERVICES,Theodore,100
Layoff *,4/8/2013,5/31/2013,WEST ASSET MANAGEMENT,Mobile,140
Closing *,11/5/2013,12/20/2013,STEELSCAPE,Fairfield,62
Layoff *,9/17/2013,11/11/2013,"ROCK MOUNTAIN MINING, LLC",Birmingham,53
Layoff *,8/23/2013,10/20/2013,WELLS FARGO,Homewood,841
Closing *,8/20/2013,10/6/2013,BELLE FOODS-STORE 51 (HOOVER),Hoover,60
Closing *,7/1/2013,8/28/2013,BIRMINGHAM LOGISTICS (BELLE FOODS),Birmingham,203
Layoff *,6/28/2013,7/7/2013,BIRMINGHAM LOGISTICS (ROUSE'S ENTERPRISES),Birmingham,182
Closing *,3/21/2013,5/19/2013,"FAIRFIELD NURSING AND REHABILITATION CENTER, LLC",Fairfield,201
Layoff *,3/15/2013,5/15/2013,AT&T ALABAMA,Birmingham,67
Layoff *,1/7/2013,3/6/2013,ATHENAHEALTH,Birmingham,36
Layoff *,11/8/2012,1/6/2013,GENERAL DYNAMICS-LAND SYSTEMS,Anniston,252
Closing *,11/5/2012,11/6/2012,HEARTLAND CATFISH,Greensboro,150
Layoff *,11/1/2012,12/31/2012,"DRS TEST & ENERGY MANAGEMENT, LLC",Huntsville,84
Closing *,11/1/2012,12/31/2012,CMI DOOR DIVISION/JELD-WEN,Ozark,70
Layoff *,9/25/2012,10/8/2012,AMERICAN APPAREL INC.,Selma,250
Closing *,8/31/2012,10/27/2012,AMERICAN POWER SOURCE,Fayette,119
Closing *,7/10/2012,9/7/2012,"BIG SPRINGS, INC.",Huntsville,87
Layoff *,6/20/2012,8/17/2012,THE HUNTSVILLE TIMES,Huntsville,103
Layoff *,6/11/2012,7/31/2012,SCIENCE APPLICATIONS INTERNATIONAL CORP. (SAIC),Anniston,134
Closing *,5/30/2012,6/4/2012,"RG STEEL, LLC",Fort Payne,15
Layoff *,5/25/2012,6/30/2012,G4S GOVERNMENT SOLUTIONS INC.,Anniston,57
Closing *,4/24/2012,6/25/2012,AAR MOBILITY SYSTEMS (FORMERLY SUMMA TECHNOLOGY),Cullman,181
Closing *,4/23/2012,6/29/2012,JOHNSON CONTROLS,Cottondale,103
Closing *,4/16/2012,4/18/2012,CONNEXION TECHNOLOGIES,Gulf Shores,38
Closing *,3/21/2012,5/21/2012,"EARTHGRAINS BAKING CO., DOTHAN",Dothan,124
Layoff *,2/22/2012,4/20/2012,MBM FOODSERVICE,Montgomery,78
Closing *,1/20/2012,3/1/2012,LEGGETT & PLATT INC. (AKA GARCY CORP.),Piedmont,117
Closing *,12/14/2012,3/1/2013,SODEXO,Tuskegee,124
Layoff *,1/10/2012,2/1/2012,ANNISTON ARMY DEPOT,Anniston,975
Layoff *,1/9/2012,3/9/2012,AMERICAN APPAREL,Fort Deposit,181
Closing *,1/10/2012,2/1/2012,HARTSELLE MEDICAL CENTER,Hartselle,184
Closing *,1/6/2012,1/13/2012,SYNCREON,Vance,312
Layoff *,6/20/2012,8/17/2012,MOBILE PRESS REGISTER,Mobile,181
Closing *,5/7/2012,7/6/2012,"HOSTESS BRANDS, INC.",Chickasaw,18
Layoff *,3/23/2012,5/21/2012,"EARTHGRAINS BAKERY CO., MOBILE",Mobile,115
Closing *,5/7/2012,7/6/2012,"HOSTESS BRANDS, INC.",Statewide,172
Layoff *,11/26/2012,1/21/2013,"ROCK MOUNTAIN MINING , LLC",Bessemer,187
Layoff *,11/7/2012,11/7/2012,"INSIGHT CARD SERVICES, LLC",Birmingham,71
Layoff *,6/20/2012,9/30/2012,THE BIRMINGHAM NEWS,Birmingham,109
Closing *,5/7/2012,7/6/2012,"HOSTESS BRANDS, INC.",Birmingham,63
Closing *,1/25/2012,4/3/2012,"GOLDEN LIVING, OR SOUTHERN BILLING OFFICE",Birmingham,38
Layoff *,12/5/2011,1/31/2012,THE BOEING COMPANY,Huntsville,164
Layoff *,11/16/2011,1/16/2012,WAYNE FARMS LLC,Decatur,363
Layoff *,10/31/2011,12/30/2011,"BAE SYSTEMS, USCS-ANNISTON/2",Anniston,155
Closing *,10/17/2011,12/14/2011,RADICISPANDEX CORPORATION,Tuscaloosa,89
Layoff *,8/11/2011,10/1/2011,"ERC, INC.",Huntsville,210
Layoff *,8/11/2011,10/1/2011,INFOPRO CORPORATION,Huntsville,210
Layoff *,8/1/2011,10/1/2011,JACOBS ESTS GROUP,Huntsville,281
Closing *,7/20/2011,11/18/2011,"THERMO FISHER SCIENTIFIC, INC.",Huntsville,67
Layoff *,7/20/2011,9/15/2011,NORTHRUP GRUMMAN-MAXWELL/GUNTER ANNEX,Montgomery,51
Closing *,6/27/2011,7/31/2011,AC FABRICATED PRODUCTS-GROVE HILL,Grove Hill,70
Closing *,6/13/2011,6/14/2011,KNAUF INSULATION,Lanett,146
Layoff *,5/16/2011,7/13/2011,"RECTICEL INTERIORS N.A., LLC",Tuscaloosa,40
Layoff *,5/13/2011,7/1/2011,"JOHNSON CONTROLS, INC.",Cottondale,42
Closing *,5/12/2011,7/1/2011,K AND K FOOD SERVICES,Huntsville,63
Layoff *,5/11/2011,7/22/2011,UNITED SPACE ALLIANCE (USA),Huntsville,45
Closing *,5/9/2011,5/9/2011,TEAM ONE CONTRACT SERVICES,Prattville,71
Closing *,5/3/2011,3/27/2012,PEMCO WORLD AIR SERVICES,Dothan,319
Closing *,5/3/2011,4/27/2011,SANDERSON PLUMBING PRODUCTS,Butler,50
Layoff *,4/27/2011,7/4/2011,INTEVA PRODUCTS,Gadsden,72
Closing *,4/7/2011,8/5/2011,NORTHROP GRUMMAN SYSTEMS CORPORATION,Huntsville,100
Closing *,3/16/2011,7/1/2011,URS (WESTINGHOUSE),Anniston,840
Closing *,3/16/2011,6/2/2011,"DILLARD'S, INC.",Decatur,71
Layoff *,2/15/2011,3/4/2011,"HEARTLAND ALABAMA, LLC",Greensboro,200
Closing *,2/7/2011,10/2/2011,BEAULIEU GROUP LLC,Eufaula,392
Layoff *,2/14/2011,4/14/2011,ABITIBI BOWATER,Coosa Pine,150
Layoff *,1/31/2011,3/31/2011,NORTHROP GRUMMAN,Redstone Arsenal,97
Closing *,2/1/2011,2/20/2011,GILDAN,Fort Payne,279
Closing *,1/27/2011,4/1/2011,"CHUGACH WORLD SERVICES, INC.",Redstone Arsenal,317
Closing *,2/1/2011,9/5/2011,WESTPOINT HOME INC.,Greenville,183
Closing *,1/31/2011,4/1/2011,"CHUGACH WORLD SERVICES, INC.",Redstone Arsenal,45
