NOTICE_DATE,JOB_SITE_NAME,COUNTY_NAME,WDA_NAME,TOTAL_LAYOFF_NUMBER,LayOff_Date,WFDD_RECEIVED_DATE,CITY_NAME,
30-Mar-16,Select Medical - Global Rehab.,Dallas,Dallas County WDA,77,30-May-16,31-Mar-16,Dallas,
29-Mar-16,CalFrac Well Services,Bexar,Alamo WDA,6,28-May-16,30-Mar-16,San Antonio,
28-Mar-16,"BP America, Inc.-Energy",Harris,Gulf Coast WDA,166,01-Jun-16,28-Mar-16,Houston,
28-Mar-16,"BP America, Inc.-Corporate",Harris,Gulf Coast WDA,167,01-Jun-16,28-Mar-16,Houston,
25-Mar-16,"BP America, Inc.",Harris,Gulf Coast WDA,167,01-Jun-16,28-Mar-16,Houston,
22-Mar-16,Barclays Capital Inc.-Technology Center,Collin,North Central Texas WDA,196,15-May-16,28-Mar-16,McKinney,
22-Mar-16,Boeing Company,Harris,Gulf Coast WDA,15,22-Mar-16,22-Mar-16,Houston,
21-Mar-16,MyCom North America,Dallas,Dallas County WDA,23,10-Mar-16,21-Mar-16,Richardson,
21-Mar-16,"Rotary Drilling Tools USA, LLC-Pipe Coatings International",Fort Bend,Gulf Coast WDA,65,20-May-16,21-Mar-16,Beasley,
21-Mar-16,Tubular Repair,Ector,Permian Basin WDA,4,20-May-16,21-Mar-16,Odessa,
17-Mar-16,Cudd Energy Services,Bexar,Alamo WDA,60,10-May-16,17-Mar-16,San Antonio,
17-Mar-16,Panosanic Avionics Corp.,Dallas,Dallas County WDA,51,30-Jun-16,17-Mar-16,Coppell,
17-Mar-16,Shade Structures,Dallas,Dallas County WDA,54,13-Feb-16,17-Mar-16,Dallas,
15-Mar-16,Dealertrack Technologies,Dallas,Dallas County WDA,59,13-May-16,15-Mar-16,Dallas,
15-Mar-16,Trinity Rail-Trinity Tank Car-Harrison Rd.,Gregg,East Texas WDA,228,15-May-16,17-Mar-16,Longview,
15-Mar-16,Trinity Rail-Trinity Tank Car-Jordan Valley,Gregg,East Texas WDA,236,15-May-16,31-Mar-16,Longview,
14-Mar-16,Trinity Rail-Trinity Tank Car,Harrison,East Texas WDA,381,15-May-16,17-Mar-16,Longview,
